G,Date, ,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,2019-11-05,,Nicholls State,W (1 OT),78,70,27,61,.443,5,19,.263,19,29,.655,17,50,12,6,2,22,17,,27,66,.409,8,20,.400,8,9,.889,3,18,13,11,4,16,29
2,2019-11-08,@,Grand Canyon,W,83,71,29,64,.453,4,13,.308,21,30,.700,16,46,13,5,0,17,21,,27,61,.443,8,19,.421,9,16,.563,6,23,12,4,0,11,23
3,2019-11-10,@,Arizona,L,69,90,25,53,.472,5,16,.313,14,20,.700,6,25,10,4,2,22,22,,34,61,.557,7,16,.438,15,22,.682,10,32,20,14,3,16,23
4,2019-11-18,,Hawaii,W,66,53,23,54,.426,5,12,.417,15,23,.652,10,43,14,3,3,15,8,,24,64,.375,3,22,.136,2,3,.667,4,25,9,7,2,9,18
5,2019-11-20,,The Citadel,W,85,57,33,68,.485,3,18,.167,16,21,.762,21,53,17,4,4,13,13,,21,74,.284,10,38,.263,5,7,.714,15,27,10,8,2,11,19
6,2019-11-23,,Hampton,W,120,71,45,70,.643,8,18,.444,22,27,.815,13,41,29,9,1,9,14,,28,64,.438,6,16,.375,9,14,.643,7,19,12,3,0,16,21
7,2019-11-26,,Lindenwood,W,117,65,39,63,.619,11,25,.440,28,37,.757,10,39,25,13,4,14,13,,25,64,.391,11,30,.367,4,5,.800,7,22,10,10,0,24,30
8,2019-12-02,,Miami (FL),L,79,81,28,53,.528,6,17,.353,17,23,.739,8,30,16,4,4,13,17,,32,54,.593,10,18,.556,7,13,.538,4,21,9,7,2,10,21
9,2019-12-07,@,Maryland,L,58,59,22,56,.393,3,14,.214,11,16,.688,8,36,10,5,1,13,17,,21,63,.333,8,31,.258,9,11,.818,12,38,12,6,4,11,17
10,2019-12-11,,Michigan,W,71,62,28,61,.459,1,11,.091,14,20,.700,11,37,6,5,6,12,10,,27,62,.435,3,18,.167,5,6,.833,5,24,12,6,5,8,18
11,2019-12-14,,Old Dominion,W,69,55,22,47,.468,7,20,.350,18,20,.900,4,28,15,7,2,15,12,,21,57,.368,6,18,.333,7,8,.875,8,27,12,7,0,18,23
12,2019-12-21,N,Missouri,L,56,63,18,50,.360,2,14,.143,18,23,.783,9,26,4,7,5,17,20,,23,54,.426,5,14,.357,12,16,.750,12,31,9,10,3,17,21
13,2019-12-29,,North Carolina A&T,W,95,64,36,68,.529,11,26,.423,12,19,.632,12,36,22,7,5,8,17,,24,52,.462,7,16,.438,9,14,.643,5,25,11,5,7,18,20
14,2020-01-02,@,Michigan State,L,56,76,22,75,.293,3,28,.107,9,15,.600,13,38,14,2,3,8,17,,26,60,.433,7,22,.318,17,24,.708,10,46,20,2,9,10,19
15,2020-01-05,,Purdue,W,63,37,26,57,.456,7,19,.368,4,8,.500,9,41,14,5,4,13,16,,15,60,.250,3,17,.176,4,10,.400,8,28,6,3,2,11,10
16,2020-01-08,@,Wisconsin,W,71,70,28,57,.491,7,16,.438,8,15,.533,6,26,11,1,2,7,22,,23,53,.434,4,15,.267,20,23,.870,9,31,5,3,6,7,16
17,2020-01-11,,Rutgers,W,54,51,18,63,.286,2,14,.143,16,19,.842,13,44,7,2,4,7,12,,20,59,.339,8,23,.348,3,8,.375,10,40,8,5,3,11,17
18,2020-01-18,,Northwestern,W,75,71,27,54,.500,9,24,.375,12,15,.800,8,29,17,2,5,7,11,,27,60,.450,8,19,.421,9,12,.750,8,25,11,3,1,5,17
19,2020-01-21,@,Purdue,W,79,62,27,49,.551,7,16,.438,18,19,.947,9,34,18,1,3,13,17,,23,56,.411,3,8,.375,13,21,.619,10,18,8,6,3,5,18
20,2020-01-25,@,Michigan,W,64,62,24,54,.444,4,11,.364,12,16,.750,4,29,6,1,0,8,19,,23,59,.390,4,17,.235,12,21,.571,10,36,5,3,3,2,14
