Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Ayo Dosunmu,G,30,30,33.5,6.5,13.5,.484,1.0,3.3,.296,5.6,10.2,.544,.520,2.6,3.4,.755,0.6,3.7,4.3,3.3,0.8,0.2,2.7,1.7,16.6,
2,Kofi Cockburn,C,31,31,27.4,4.9,9.2,.532,0.0,0.0,.000,4.9,9.1,.534,.532,3.6,5.3,.677,3.5,5.3,8.8,0.6,0.5,1.4,1.9,2.6,13.3,
3,Andres Feliz,G,31,15,26.8,3.9,8.5,.460,0.5,2.0,.274,3.4,6.5,.517,.492,2.6,3.4,.769,1.0,4.0,5.0,2.9,0.7,0.0,1.4,1.7,11.0,
4,Trent Frazier,G,31,30,30.5,2.8,8.5,.327,1.6,5.3,.309,1.1,3.2,.357,.424,1.9,2.2,.853,0.2,2.0,2.2,1.9,0.9,0.0,0.9,2.5,9.1,
5,Alan Griffin,G,28,1,18.1,3.1,6.4,.483,1.7,4.0,.416,1.4,2.3,.600,.615,1.1,1.3,.861,1.8,2.8,4.5,0.6,0.5,0.2,0.8,1.1,8.9,
6,Giorgi Bezhanishvili,F,31,24,23.2,2.7,6.3,.429,0.4,1.2,.306,2.4,5.2,.456,.457,1.0,1.7,.596,1.8,3.0,4.8,1.6,0.1,0.4,1.8,2.4,6.8,
7,Kipper Nichols,F,31,1,13.8,1.3,3.5,.383,0.1,0.6,.105,1.3,2.8,.443,.393,0.7,1.0,.700,0.9,1.0,2.0,0.6,0.5,0.0,0.9,1.7,3.4,
8,Da'Monte Williams,G,31,22,21.6,0.8,2.4,.347,0.4,1.5,.283,0.4,0.9,.448,.433,0.7,1.0,.700,0.5,3.1,3.6,1.3,0.7,0.4,0.7,1.4,2.8,
9,Benjamin Bosmans-Verdonk,F,9,0,6.2,0.4,1.2,.364,0.0,0.2,.000,0.4,1.0,.444,.364,0.3,0.4,.750,0.7,0.4,1.1,0.7,0.3,0.2,0.6,0.7,1.2,
10,Jermaine Hamlin,C,16,0,4.1,0.4,0.5,.750,0.0,0.0,,0.4,0.5,.750,.750,0.2,0.4,.500,0.5,0.3,0.8,0.1,0.1,0.1,0.3,0.6,0.9,
11,Tevian Jones,G,14,0,4.8,0.3,1.7,.167,0.2,1.1,.188,0.1,0.6,.125,.229,0.1,0.1,.500,0.3,0.4,0.7,0.1,0.0,0.1,0.3,0.9,0.9,
12,Zach Griffith,F,8,0,2.4,0.3,0.4,.667,0.0,0.0,,0.3,0.4,.667,.667,0.3,0.5,.500,0.3,0.3,0.5,0.1,0.0,0.0,0.0,0.0,0.8,
13,Tyler Underwood,G,14,1,3.4,0.1,0.6,.222,0.1,0.4,.333,0.0,0.2,.000,.333,0.2,0.4,.600,0.0,0.2,0.2,0.4,0.0,0.0,0.1,0.3,0.6,
14,Samson Oladimeji,G,8,0,2.0,0.1,0.4,.333,0.0,0.3,.000,0.1,0.1,1.000,.333,0.0,0.0,,0.1,0.3,0.4,0.0,0.0,0.1,0.0,0.0,0.3,
,Team Totals,,31,,40.2,26.2,59.1,.443,5.6,18.3,.309,20.5,40.8,.503,.491,14.3,19.6,.728,12.7,26.8,39.5,13.3,4.9,2.9,12.1,16.0,72.2,
