Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
Ayo Dosunmu,11,SO,G,6-5,200,"Chicago, IL",Morgan Park HS,32 (2018),"16.6 Pts, 4.3 Reb, 3.3 Ast"
Kofi Cockburn,21,FR,C,7-0,285,"Kingston, Jamaica",Oak Hill Academy,43 (2019),"13.3 Pts, 8.8 Reb, 0.6 Ast"
Andres Feliz,10,SR,G,6-2,195,"Guachupita, Dominican Republic",West Oaks (FL),,"11.0 Pts, 5.0 Reb, 2.9 Ast"
Trent Frazier,1,JR,G,6-2,175,"Wellington, FL",Wellington High School,,"9.1 Pts, 2.2 Reb, 1.9 Ast"
Alan Griffin,0,SO,G,6-5,190,"Ossining, NY",Archbishop Stepinac HS,,"8.9 Pts, 4.5 Reb, 0.6 Ast"
Giorgi Bezhanishvili,15,SO,F,6-9,245,"Rustavi, Georgia",The Patrick School,,"6.8 Pts, 4.8 Reb, 1.6 Ast"
Kipper Nichols,2,SR,F,6-6,220,"Cleveland, OH",St. Edward HS,,"3.4 Pts, 2.0 Reb, 0.6 Ast"
Da'Monte Williams,20,JR,G,6-3,215,"Peoria, IL",Manual HS,,"2.8 Pts, 3.6 Reb, 1.3 Ast"
Jermaine Hamlin,34,FR,C,6-10,235,"Lincoln, IL",Lincoln (IL),,"0.9 Pts, 0.8 Reb, 0.1 Ast"
Tevian Jones,5,SO,G,6-7,190,"Chandler, AZ",Culver City HS,,"0.9 Pts, 0.7 Reb, 0.1 Ast"
Benjamin Bosmans-Verdonk,13,FR,F,6-8,235,"Lommel, Belgium",KA Pegasus (Belgium),,"1.2 Pts, 1.1 Reb, 0.7 Ast"
Tyler Underwood,32,JR,G,6-2,180,"Stillwater, OK",Nacogdoches High School,,"0.6 Pts, 0.2 Reb, 0.4 Ast"
Zach Griffith,4,JR,F,6-6,220,"Fisher, IL",Fishers HS,,"0.8 Pts, 0.5 Reb, 0.1 Ast"
Samson Oladimeji,35,SR,G,6-4,210,"Rolling Meadows, IL",William Fremd High School,,"0.3 Pts, 0.4 Reb, 0.0 Ast"
