,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2020-11-25,,North Carolina A&T,W,122,60,44,75,.587,17,31,.548,17,24,.708,18,58,31,5,4,15,18,,22,64,.344,5,19,.263,11,21,.524,4,16,10,9,0,12,21
1,2,2020-11-26,,Chicago State,W,97,38,36,60,.600,7,18,.389,18,24,.750,15,52,16,6,3,18,14,,15,54,.278,4,24,.167,4,10,.400,1,8,6,9,1,15,22
2,3,2020-11-27,,Ohio,W,77,75,28,58,.483,6,15,.400,15,24,.625,10,42,14,3,1,15,14,,31,65,.477,9,19,.474,4,9,.444,3,22,16,10,3,6,18
3,4,2020-12-02,N,Baylor,L,69,82,26,59,.441,7,18,.389,10,16,.625,9,33,16,3,4,12,20,,30,66,.455,7,18,.389,15,24,.625,16,37,14,7,4,7,16
4,5,2020-12-08,@,Duke,W,83,68,29,50,.580,7,11,.636,18,24,.750,3,35,13,7,5,18,20,,27,67,.403,5,22,.227,9,16,.563,10,31,14,8,5,12,19
5,6,2020-12-12,@,Missouri,L,78,81,29,55,.527,3,13,.231,17,28,.607,2,20,10,9,2,13,25,,25,53,.472,5,21,.238,26,31,.839,7,31,9,4,2,18,27
6,7,2020-12-15,,Minnesota,W,92,65,34,64,.531,7,19,.368,17,25,.680,7,49,21,2,2,13,27,,19,69,.275,7,28,.250,20,32,.625,10,32,10,7,6,8,19
7,8,2020-12-20,@,Rutgers,L,88,91,34,63,.540,9,15,.600,11,15,.733,8,32,20,4,0,13,26,,29,62,.468,8,20,.400,25,36,.694,13,33,12,8,8,9,17
8,9,2020-12-23,@,Penn State,W,98,81,35,63,.556,5,16,.313,23,28,.821,12,33,20,5,2,10,15,,35,65,.538,7,23,.304,4,7,.571,8,25,15,6,5,12,23
9,10,2020-12-26,,Indiana,W,69,60,24,54,.444,7,20,.350,14,18,.778,7,38,15,5,2,11,9,,23,58,.397,7,18,.389,7,9,.778,2,26,9,6,4,7,15
10,11,2021-01-02,,Purdue,W,66,58,25,52,.481,7,20,.350,9,22,.409,5,36,17,6,6,11,15,,22,56,.393,7,16,.438,7,12,.583,5,32,11,3,4,14,20
11,12,2021-01-07,@,Northwestern,W,81,56,27,55,.491,11,27,.407,16,21,.762,9,38,19,4,4,15,17,,18,55,.327,6,20,.300,14,18,.778,6,25,13,10,0,13,16
12,13,2021-01-10,,Maryland,L,63,66,25,61,.410,5,15,.333,8,12,.667,8,34,15,7,2,8,13,,22,55,.400,8,20,.400,14,17,.824,7,29,8,2,7,10,13
13,14,2021-01-16,,Ohio State,L,81,87,29,60,.483,9,26,.346,14,20,.700,10,28,15,6,1,10,20,,29,54,.537,11,21,.524,18,23,.783,6,27,12,6,1,11,20
14,15,2021-01-19,,Penn State,W,79,65,26,57,.456,7,23,.304,20,28,.714,7,33,18,7,8,14,21,,21,62,.339,7,18,.389,16,21,.762,12,36,8,10,0,15,26
15,16,2021-01-29,,Iowa,W,80,75,29,58,.500,8,19,.421,14,17,.824,8,36,15,6,1,12,14,,31,72,.431,10,25,.400,3,6,.500,11,30,17,4,4,8,15
16,17,2021-02-02,@,Indiana,W(1 OT),75,71,22,57,.386,7,19,.368,24,32,.750,11,35,10,7,3,10,26,,22,54,.407,4,8,.500,23,34,.676,9,34,12,6,4,13,28
17,18,2021-02-06,,Wisconsin,W,75,60,28,53,.528,5,16,.313,14,21,.667,10,44,16,8,1,18,10,,25,60,.417,4,24,.167,6,11,.545,2,19,6,10,4,11,16
18,19,2021-02-12,@,Nebraska,W(1 OT),77,72,28,58,.483,7,21,.333,14,22,.636,8,35,15,6,8,12,19,,24,65,.369,7,20,.350,17,25,.680,12,36,12,7,5,11,20
19,20,2021-02-16,,Northwestern,W,73,66,27,52,.519,8,21,.381,11,22,.500,8,32,16,5,2,15,16,,27,64,.422,6,25,.240,6,8,.750,6,30,4,6,1,12,22
20,21,2021-02-20,@,Minnesota,W,94,63,37,66,.561,7,14,.500,13,15,.867,8,35,27,9,2,9,13,,22,54,.407,8,16,.500,11,15,.733,5,25,16,2,9,17,15
21,22,2021-02-23,@,Michigan State,L,72,81,24,60,.400,5,17,.294,19,34,.559,16,40,14,4,2,11,19,,32,59,.542,4,8,.500,13,20,.650,8,34,18,7,9,8,24
22,23,2021-02-25,,Nebraska,W,86,70,30,62,.484,4,23,.174,22,29,.759,12,43,13,8,2,14,19,,27,61,.443,5,21,.238,11,16,.688,3,25,8,4,2,14,25
23,24,2021-02-27,@,Wisconsin,W,74,69,25,48,.521,5,9,.556,19,27,.704,5,39,13,5,3,20,18,,24,69,.348,10,31,.323,11,15,.733,11,27,10,13,3,7,19
24,25,2021-03-02,@,Michigan,W,76,53,30,64,.469,6,13,.462,10,14,.714,11,40,9,5,2,12,20,,17,49,.347,2,7,.286,17,24,.708,3,24,4,5,4,10,14
25,26,2021-03-06,@,Ohio State,W,73,68,27,52,.519,4,12,.333,15,24,.625,10,34,12,4,1,9,14,,26,65,.400,9,29,.310,7,11,.636,11,31,10,4,5,9,24
26,27,2021-03-12,N,Rutgers,W,90,68,32,61,.525,5,17,.294,21,31,.677,16,41,16,8,1,14,21,,25,54,.463,2,11,.182,16,22,.727,2,18,7,9,5,11,24
27,28,2021-03-13,N,Iowa,W,82,71,32,66,.485,3,15,.200,15,20,.750,8,39,22,7,6,8,14,,26,64,.406,8,24,.333,11,14,.786,6,34,19,5,3,12,18
28,29,2021-03-14,N,Ohio State,W(1 OT),91,88,29,64,.453,9,21,.429,24,32,.750,13,40,15,5,2,10,23,,29,65,.446,8,25,.320,22,30,.733,8,35,11,7,4,8,26
29,30,2021-03-19,N,Drexel,W,78,49,36,63,.571,2,6,.333,4,8,.500,5,38,19,5,3,5,11,,19,62,.306,7,20,.350,4,4,1.000,6,29,10,2,3,9,10
30,31,2021-03-21,N,Loyola (IL),L,58,71,22,49,.449,4,14,.286,10,13,.769,4,24,14,5,2,17,18,,26,51,.510,4,10,.400,15,22,.682,6,28,16,12,4,10,16
