,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,Ayo Dosunmu,11,JR,G,6-5,200,"Chicago, IL",Morgan Park HS,32 (2018),"20.1 Pts, 6.3 Reb, 5.3 Ast"
2,Kofi Cockburn,21,SO,C,7-0,285,"Kingston, Jamaica",Oak Hill Academy,43 (2019),"17.7 Pts, 9.5 Reb, 0.2 Ast"
3,Trent Frazier,1,SR,G,6-2,175,"Wellington, FL",Wellington High School,,"10.2 Pts, 2.7 Reb, 2.7 Ast"
4,Andre Curbelo,5,FR,G,6-1,175,"Vega Baja, Puerto Rico",Long Island Lutheran HS,45 (2020),"9.1 Pts, 4.0 Reb, 4.2 Ast"
5,Adam Miller,44,FR,G,6-3,180,"Peoria, IL",Morgan Park HS,29 (2020),"8.3 Pts, 2.8 Reb, 0.8 Ast"
6,Da'Monte Williams,20,SR,G,6-3,215,"Peoria, IL",Manual HS,,"5.5 Pts, 5.3 Reb, 1.7 Ast"
7,Giorgi Bezhanishvili,15,JR,F,6-9,245,"Rustavi, Georgia",The Patrick School,,"5.1 Pts, 2.7 Reb, 0.4 Ast"
8,Jacob Grandison,3,JR,G,6-6,205,"Oakland, CA",Phillips Exeter Academy,,"4.6 Pts, 3.4 Reb, 1.3 Ast"
9,Coleman Hawkins,33,FR,F,6-10,200,"Sacramento, CA",Prolific Prep,,"1.4 Pts, 0.8 Reb, 0.4 Ast"
10,Jermaine Hamlin,34,SO,C,6-10,235,"Lincoln, IL",Lincoln (IL),,"1.0 Pts, 0.4 Reb, 0.0 Ast"
11,Tyler Underwood,32,SR,G,6-2,180,"Stillwater, OK",Nacogdoches High School,,"0.7 Pts, 0.3 Reb, 0.0 Ast"
12,Zach Griffith,4,SR,F,6-6,220,"Fisher, IL",Fishers HS,,"0.6 Pts, 0.9 Reb, 0.0 Ast"
13,Brandon Lieb,12,FR,C,7-0,210,"Deerfield, IL",Deerfield HS,,"0.8 Pts, 1.2 Reb, 0.2 Ast"
14,Benjamin Bosmans-Verdonk,13,SO,F,6-8,235,"Lommel, Belgium",KA Pegasus (Belgium),,"0.3 Pts, 0.4 Reb, 0.0 Ast"
15,Connor Serven,2,FR,F,6-9,215,"Bushnell, IL",St. Rita HS,,"0.3 Pts, 0.3 Reb, 0.0 Ast"
16,Edgar Padilla,10,FR,G,6-1,165,"Carolina, Puerto Rico",San Ignacio de Loyola (PR),,"0.0 Pts, 0.0 Reb, 0.0 Ast"
