,Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
0,1,Kofi Cockburn,C,28,28,30.7,8.1,13.6,.593,0.0,0.0,,8.1,13.6,.593,.593,4.8,7.3,.655,3.4,7.2,10.6,0.8,0.8,1.0,2.3,2.4,20.9,"AA-1,AP-AA-1"
1,2,Alfonso Plummer,G,33,29,30.2,4.7,11.0,.424,3.0,7.3,.408,1.7,3.7,.455,.559,2.3,2.6,.874,0.3,2.1,2.5,1.1,0.3,0.0,1.3,1.6,14.6,
2,3,Trent Frazier,G,31,30,34.7,3.9,9.8,.397,2.0,6.2,.328,1.9,3.6,.513,.500,1.8,2.1,.833,0.5,2.3,2.8,4.1,1.3,0.1,1.8,2.0,11.6,
3,4,Jacob Grandison,G,30,23,25.0,3.4,7.5,.455,1.8,4.5,.410,1.6,3.0,.522,.578,0.9,1.1,.824,1.1,2.7,3.8,2.3,0.3,0.2,1.2,1.7,9.6,
4,5,Andre Curbelo,G,19,4,19.3,2.6,7.8,.329,0.3,1.8,.176,2.3,6.1,.374,.349,2.0,2.7,.745,0.6,2.5,3.1,3.2,0.7,0.1,2.8,2.3,7.5,
5,6,Coleman Hawkins,F,33,14,19.0,2.1,4.7,.442,0.6,2.0,.292,1.5,2.7,.551,.503,1.2,1.8,.650,1.4,2.8,4.3,1.5,0.8,0.5,1.4,1.9,5.9,
6,7,Da'Monte Williams,G,33,30,28.8,1.3,4.2,.307,0.8,2.4,.325,0.5,1.8,.283,.400,0.5,1.0,.531,1.0,4.0,5.0,2.5,0.8,0.3,0.9,1.7,3.9,
7,8,RJ Melendez,G,22,1,8.5,1.3,2.3,.569,0.4,0.7,.600,0.9,1.6,.556,.657,0.8,0.9,.850,0.4,1.3,1.7,0.7,0.3,0.1,0.5,0.5,3.8,
8,9,Austin Hutcherson,G,4,1,15.3,0.8,2.0,.375,0.0,1.0,.000,0.8,1.0,.750,.375,1.3,1.8,.714,0.5,1.5,2.0,0.5,0.5,0.3,1.5,1.0,2.8,
9,10,Luke Goode,G,28,0,8.9,0.6,2.0,.327,0.6,1.5,.372,0.1,0.4,.167,.473,0.1,0.2,.667,0.6,1.2,1.8,0.5,0.0,0.1,0.3,0.9,2.0,
10,11,Omar Payne,F,32,3,7.4,0.7,1.1,.618,0.0,0.0,,0.7,1.1,.618,.618,0.5,0.9,.536,0.6,1.1,1.7,0.2,0.1,0.8,0.6,1.8,1.8,
11,12,Benjamin Bosmans-Verdonk,F,24,2,7.8,0.7,1.5,.472,0.0,0.0,,0.7,1.5,.472,.472,0.2,0.7,.294,1.0,1.1,2.1,0.6,0.3,0.0,0.2,1.4,1.6,
12,13,Brandin Podziemski,G,16,0,4.3,0.5,1.2,.421,0.2,0.8,.231,0.3,0.4,.833,.500,0.2,0.3,.750,0.1,0.8,0.9,0.3,0.1,0.0,0.3,0.4,1.4,
13,14,Brandon Lieb,C,10,0,2.4,0.4,0.5,.800,0.0,0.0,,0.4,0.5,.800,.800,0.0,0.1,.000,0.4,0.3,0.7,0.1,0.0,0.1,0.1,0.4,0.8,
14,15,Connor Serven,F,6,0,2.0,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,
