,G,Date,Time,Type,,Opponent,Conf,SRS,,Tm,Opp,OT,W,L,Streak,Arena
0,1,"Tue, Nov 9, 2021",8:00p,REG,,Jackson State,SWAC,-10.10,W,71,47,,1,0,W 1,State Farm Center
1,2,"Fri, Nov 12, 2021",9:00p,REG,,Arkansas State,Sun Belt,-3.27,W,92,53,,2,0,W 2,State Farm Center
2,3,"Mon, Nov 15, 2021",7:00p,REG,@,Marquette,Big East,11.36,L,66,67,,2,1,L 1,Fiserv Forum
3,4,"Mon, Nov 22, 2021",6:30p,REG,N,Cincinnati,AAC,7.44,L,51,71,,2,2,L 2,T-Mobile Center
4,5,"Tue, Nov 23, 2021",7:00p,REG,N,Kansas State,Big 12,10.61,W,72,64,,3,2,W 1,T-Mobile Center
5,6,"Fri, Nov 26, 2021",8:00p,REG,,Texas-Rio Grande Valley,WAC,-10.18,W,94,85,,4,2,W 2,State Farm Center
6,7,"Mon, Nov 29, 2021",9:00p,REG,,Notre Dame,ACC,11.87,W,82,72,,5,2,W 3,State Farm Center
7,8,"Fri, Dec 3, 2021",7:00p,REG,,Rutgers,Big Ten,8.78,W,86,51,,6,2,W 4,State Farm Center
8,9,"Mon, Dec 6, 2021",7:00p,REG,@,Iowa,Big Ten,18.90,W,87,83,,7,2,W 5,Carver-Hawkeye Arena
9,10,"Sat, Dec 11, 2021",5:00p,REG,,Arizona(11),Pac-12,22.75,L,79,83,,7,3,L 1,State Farm Center
10,11,"Sat, Dec 18, 2021",1:00p,REG,,Saint Francis (PA),NEC,-14.57,W,106,48,,8,3,W 1,State Farm Center
11,12,"Wed, Dec 22, 2021",9:00p,REG,N,Missouri,SEC,2.94,W,88,63,,9,3,W 2,Enterprise Center
12,13,"Tue, Jan 4, 2022",7:00p,REG,@,Minnesota,Big Ten,5.93,W,76,53,,10,3,W 3,Williams Arena
13,14,"Thu, Jan 6, 2022",7:00p,REG,,Maryland,Big Ten,9.34,W,76,64,,11,3,W 4,State Farm Center
14,15,"Tue, Jan 11, 2022",8:30p,REG,@,Nebraska,Big Ten,3.00,W,81,71,,12,3,W 5,Pinnacle Bank Arena
15,16,"Fri, Jan 14, 2022",9:00p,REG,,Michigan,Big Ten,14.26,W,68,53,,13,3,W 6,State Farm Center
16,17,"Mon, Jan 17, 2022",12:00p,REG,,Purdue(4),Big Ten,19.15,L,88,96,2OT,13,4,L 1,State Farm Center
17,18,"Fri, Jan 21, 2022",7:00p,REG,@,Maryland,Big Ten,9.34,L,65,81,,13,5,L 2,Xfinity Center
18,19,"Tue, Jan 25, 2022",7:00p,REG,,Michigan State(10),Big Ten,13.18,W,56,55,,14,5,W 1,State Farm Center
19,20,"Sat, Jan 29, 2022",4:30p,REG,@,Northwestern,Big Ten,8.91,W,59,56,,15,5,W 2,Welsh-Ryan Arena
20,21,"Wed, Feb 2, 2022",9:00p,REG,,Wisconsin(11),Big Ten,13.13,W,80,67,,16,5,W 3,State Farm Center
21,22,"Sat, Feb 5, 2022",12:00p,REG,@,Indiana,Big Ten,12.71,W,74,57,,17,5,W 4,Simon Skjodt Assembly Hall
22,23,"Tue, Feb 8, 2022",9:00p,REG,@,Purdue(3),Big Ten,19.15,L,68,84,,17,6,L 1,Mackey Arena
23,24,"Sun, Feb 13, 2022",2:00p,REG,,Northwestern,Big Ten,8.91,W,73,66,,18,6,W 1,State Farm Center
24,25,"Wed, Feb 16, 2022",7:00p,REG,@,Rutgers,Big Ten,8.78,L,59,70,,18,7,L 1,Jersey Mike''s Arena
25,26,"Sat, Feb 19, 2022",12:00p,REG,@,Michigan State(19),Big Ten,13.18,W,79,74,,19,7,W 1,Breslin Student Events Center
26,27,"Thu, Feb 24, 2022",9:00p,REG,,Ohio State(22),Big Ten,14.17,L,83,86,,19,8,L 1,State Farm Center
27,28,"Sun, Feb 27, 2022",2:00p,REG,@,Michigan,Big Ten,14.26,W,93,85,,20,8,W 1,Crisler Center
28,29,"Thu, Mar 3, 2022",7:00p,REG,,Penn State,Big Ten,8.72,W,60,55,,21,8,W 2,State Farm Center
29,30,"Sun, Mar 6, 2022",7:30p,REG,,Iowa(24),Big Ten,18.90,W,74,72,,22,8,W 3,State Farm Center
30,31,"Fri, Mar 11, 2022",11:30a,CTOURN,N,Indiana,Big Ten,12.71,L,63,65,,22,9,L 1,Gainbridge Fieldhouse
31,32,"Fri, Mar 18, 2022",6:50p,NCAA,N,Chattanooga,Southern,6.12,W,54,53,,23,9,W 1,PPG Paints Arena
32,33,"Sun, Mar 20, 2022",12:10p,NCAA,N,Houston(15),AAC,22.55,L,53,68,,23,10,L 1,PPG Paints Arena
