,G,Date,Time,Type,,Opponent,Conf,SRS,,Tm,Opp,OT,W,L,Streak,Arena
0,1,"Mon, Nov 7, 2022",9:00p,REG,,Eastern Illinois,OVC,-14.09,W,87,57,,1,0,W 1,State Farm Center
1,2,"Fri, Nov 11, 2022",9:00p,REG,,Kansas City,Summit,-9.78,W,86,48,,2,0,W 2,State Farm Center
2,3,"Mon, Nov 14, 2022",9:00p,REG,,Monmouth,CAA,-15.64,W,103,65,,3,0,W 3,State Farm Center
3,4,"Fri, Nov 18, 2022",9:30p,REG,N,UCLA(8),Pac-12,22.11,W,79,70,,4,0,W 4,T-Mobile Arena
4,5,"Sun, Nov 20, 2022",3:00p,REG,N,Virginia(16),ACC,13.28,L,61,70,,4,1,L 1,T-Mobile Arena
5,6,"Fri, Nov 25, 2022",9:00p,REG,,Lindenwood,OVC,-14.80,W,92,59,,5,1,W 1,State Farm Center
6,7,"Tue, Nov 29, 2022",7:30p,REG,,Syracuse,ACC,5.39,W,73,44,,6,1,W 2,State Farm Center
7,8,"Fri, Dec 2, 2022",9:00p,REG,@,Maryland(22),Big Ten,14.58,L,66,71,,6,2,L 1,Xfinity Center
8,9,"Tue, Dec 6, 2022",7:00p,REG,N,Texas(2),Big 12,20.56,W,85,78,OT,7,2,W 1,Madison Square Garden (IV)
9,10,"Sat, Dec 10, 2022",12:00p,REG,,Penn State,Big Ten,13.04,L,59,74,,7,3,L 1,State Farm Center
10,11,"Sat, Dec 17, 2022",4:00p,REG,,Alabama A&M,SWAC,-10.78,W,68,47,,8,3,W 1,State Farm Center
11,12,"Thu, Dec 22, 2022",9:00p,REG,N,Missouri,SEC,11.41,L,71,93,,8,4,L 1,Enterprise Center
12,13,"Thu, Dec 29, 2022",8:30p,REG,,Bethune-Cookman,SWAC,-17.15,W,85,52,,9,4,W 1,State Farm Center
13,14,"Wed, Jan 4, 2023",9:00p,REG,@,Northwestern,Big Ten,13.68,L,60,73,,9,5,L 1,Welsh-Ryan Arena
14,15,"Sat, Jan 7, 2023",1:30p,REG,,Wisconsin(14),Big Ten,10.98,W,79,69,,10,5,W 1,State Farm Center
15,16,"Tue, Jan 10, 2023",9:00p,REG,@,Nebraska,Big Ten,7.12,W,76,50,,11,5,W 2,Pinnacle Bank Arena
16,17,"Fri, Jan 13, 2023",9:00p,REG,,Michigan State,Big Ten,14.25,W,75,66,,12,5,W 3,State Farm Center
17,18,"Mon, Jan 16, 2023",6:00p,REG,@,Minnesota,Big Ten,-0.30,W,78,60,,13,5,W 4,Williams Arena
18,19,"Thu, Jan 19, 2023",8:30p,REG,,Indiana,Big Ten,14.94,L,65,80,,13,6,L 1,State Farm Center
19,20,"Tue, Jan 24, 2023",7:00p,REG,,Ohio State,Big Ten,12.99,W,69,60,,14,6,W 1,State Farm Center
20,21,"Sat, Jan 28, 2023",3:00p,REG,@,Wisconsin,Big Ten,10.98,W,61,51,,15,6,W 2,
21,22,"Tue, Jan 31, 2023",7:00p,REG,,Nebraska,Big Ten,7.12,W,72,56,,16,6,W 3,State Farm Center
22,23,"Sat, Feb 4, 2023",2:30p,REG,@,Iowa,Big Ten,14.08,L,79,81,,16,7,L 1,Carver-Hawkeye Arena
23,24,"Sat, Feb 11, 2023",2:00p,REG,,Rutgers(24),Big Ten,14.58,W,69,60,,17,7,W 1,State Farm Center
24,25,"Tue, Feb 14, 2023",7:00p,REG,@,Penn State,Big Ten,13.04,L,81,93,,17,8,L 1,Bryce Jordan Center
25,26,"Sat, Feb 18, 2023",12:00p,REG,@,Indiana(14),Big Ten,14.94,L,68,71,,17,9,L 2,Simon Skjodt Assembly Hall
26,27,"Mon, Feb 20, 2023",9:00p,REG,,Minnesota,Big Ten,-0.30,W,78,69,,18,9,W 1,State Farm Center
27,28,"Thu, Feb 23, 2023",9:00p,REG,,Northwestern(21),Big Ten,13.68,W,66,62,,19,9,W 2,State Farm Center
28,29,"Sun, Feb 26, 2023",12:00p,REG,@,Ohio State,Big Ten,12.99,L,60,72,,19,10,L 1,Value City Arena
29,30,"Thu, Mar 2, 2023",7:00p,REG,,Michigan,Big Ten,12.43,W,91,87,2OT,20,10,W 1,State Farm Center
30,31,"Sun, Mar 5, 2023",12:30p,REG,@,Purdue(5),Big Ten,18.23,L,71,76,,20,11,L 1,Mackey Arena
31,32,"Thu, Mar 9, 2023",6:30p,CTOURN,N,Penn State,Big Ten,13.04,L,76,79,,20,12,L 2,United Center
32,33,"Thu, Mar 16, 2023",4:30p,NCAA,N,Arkansas,SEC,15.99,L,63,73,,20,13,L 3,Wells Fargo Arena
