,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2022-11-07,,Eastern Illinois,W,87,57,30,64,.469,9,26,.346,18,33,.545,20,53,16,10,9,15,16,,21,60,.350,3,15,.200,12,20,.600,7,27,9,12,2,16,25
1,2,2022-11-11,,Kansas City,W,86,48,30,64,.469,8,27,.296,18,26,.692,11,39,15,11,8,11,11,,20,64,.313,3,21,.143,5,7,.714,12,36,8,5,2,23,21
2,3,2022-11-14,,Monmouth,W,103,65,37,62,.597,14,33,.424,15,20,.750,11,35,21,11,4,18,23,,21,49,.429,6,16,.375,17,23,.739,3,18,11,6,0,22,21
3,4,2022-11-18,N,UCLA,W,79,70,27,51,.529,12,25,.480,13,19,.684,3,33,19,8,4,21,17,,27,72,.375,9,22,.409,7,14,.500,11,30,17,10,3,15,15
4,5,2022-11-20,N,Virginia,L,61,70,24,59,.407,9,26,.346,4,9,.444,7,28,11,5,4,13,22,,20,48,.417,5,17,.294,25,32,.781,8,36,10,8,2,12,14
5,6,2022-11-25,,Lindenwood,W,92,59,36,62,.581,11,30,.367,9,11,.818,9,34,17,16,2,21,12,,24,58,.414,5,18,.278,6,6,1.000,6,20,9,7,1,18,10
6,7,2022-11-29,,Syracuse,W,73,44,24,67,.358,11,39,.282,14,22,.636,13,41,21,7,6,7,15,,15,54,.278,5,17,.294,9,17,.529,10,40,11,3,5,15,22
7,8,2022-12-02,@,Maryland,L,66,71,27,61,.443,5,20,.250,7,8,.875,13,32,8,5,7,12,18,,24,54,.444,9,23,.391,14,18,.778,8,27,9,3,3,10,13
8,9,2022-12-06,N,Texas,W(1 OT),85,78,27,60,.450,10,23,.435,21,31,.677,7,37,11,7,12,16,20,,29,69,.420,7,22,.318,13,19,.684,10,34,20,8,3,14,24
9,10,2022-12-10,,Penn State,L,59,74,23,52,.442,7,23,.304,6,12,.500,7,31,11,4,4,11,11,,27,54,.500,12,24,.500,8,10,.800,3,25,13,9,1,9,15
10,11,2022-12-17,,Alabama A&M,W,68,47,24,57,.421,7,27,.259,13,23,.565,14,40,9,7,6,18,16,,17,56,.304,3,17,.176,10,14,.714,10,31,2,7,6,17,23
11,12,2022-12-22,N,Missouri,L,71,93,25,62,.403,7,31,.226,14,19,.737,18,35,10,6,1,16,16,,35,59,.593,10,20,.500,13,18,.722,8,24,23,13,2,10,20
12,13,2022-12-29,,Bethune-Cookman,W,85,52,29,59,.492,8,28,.286,19,27,.704,9,38,17,10,10,15,16,,17,58,.293,3,13,.231,15,20,.750,9,33,6,12,3,20,21
13,14,2023-01-04,@,Northwestern,L,60,73,23,58,.397,8,28,.286,6,10,.600,7,34,13,2,6,15,29,,17,53,.321,7,18,.389,32,40,.800,8,31,11,11,3,7,17
14,15,2023-01-07,,Wisconsin,W,79,69,25,53,.472,10,19,.526,19,26,.731,7,37,14,5,6,10,14,,28,64,.438,8,29,.276,5,12,.417,10,34,12,6,2,9,21
15,16,2023-01-10,@,Nebraska,W,76,50,28,61,.459,8,29,.276,12,18,.667,13,39,15,12,7,10,21,,20,54,.370,4,14,.286,6,11,.545,7,29,8,3,2,17,17
16,17,2023-01-13,,Michigan State,W,75,66,27,60,.450,6,18,.333,15,18,.833,8,29,11,4,10,5,10,,28,65,.431,0,7,.000,10,13,.769,12,39,4,2,2,9,17
