,Date,Time,Type,Opponent,Rank,Ranked Match,Conf,SRS,Result,PF,PA,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
0,2022-11-07,9:00p,REG,Eastern Illinois,,False,OVC,-14.09,W,87,57,1,0,True,1,0,30,64,0.469,9,26,0.346,18,33,0.545,20,53,16,10,9,15,16,21,60,0.35,3,15,0.2,12,20,0.6,7,27,9,12,2,16,25
1,2022-11-11,9:00p,REG,Kansas City,,False,Summit,-9.78,W,86,48,2,0,True,2,0,30,64,0.469,8,27,0.296,18,26,0.692,11,39,15,11,8,11,11,20,64,0.313,3,21,0.143,5,7,0.714,12,36,8,5,2,23,21
2,2022-11-14,9:00p,REG,Monmouth,,False,CAA,-15.64,W,103,65,3,0,True,3,0,37,62,0.597,14,33,0.424,15,20,0.75,11,35,21,11,4,18,23,21,49,0.429,6,16,0.375,17,23,0.739,3,18,11,6,0,22,21
3,2022-11-18,9:30p,REG,UCLA,8.0,True,Pac-12,22.11,W,79,70,4,0,False,4,0,27,51,0.529,12,25,0.48,13,19,0.684,3,33,19,8,4,21,17,27,72,0.375,9,22,0.409,7,14,0.5,11,30,17,10,3,15,15
4,2022-11-20,3:00p,REG,Virginia,16.0,True,ACC,13.28,L,61,70,4,1,False,0,1,24,59,0.407,9,26,0.346,4,9,0.444,7,28,11,5,4,13,22,20,48,0.417,5,17,0.294,25,32,0.781,8,36,10,8,2,12,14
5,2022-11-25,9:00p,REG,Lindenwood,,False,OVC,-14.8,W,92,59,5,1,True,1,0,36,62,0.581,11,30,0.367,9,11,0.818,9,34,17,16,2,21,12,24,58,0.414,5,18,0.278,6,6,1.0,6,20,9,7,1,18,10
6,2022-11-29,7:30p,REG,Syracuse,,False,ACC,5.39,W,73,44,6,1,True,2,0,24,67,0.358,11,39,0.282,14,22,0.636,13,41,21,7,6,7,15,15,54,0.278,5,17,0.294,9,17,0.529,10,40,11,3,5,15,22
7,2022-12-02,9:00p,REG,Maryland,22.0,True,Big Ten,14.58,L,66,71,6,2,False,0,1,27,61,0.443,5,20,0.25,7,8,0.875,13,32,8,5,7,12,18,24,54,0.444,9,23,0.391,14,18,0.778,8,27,9,3,3,10,13
8,2022-12-06,7:00p,REG,Texas,2.0,True,Big 12,20.56,W,85,78,7,2,False,1,0,27,60,0.45,10,23,0.435,21,31,0.677,7,37,11,7,12,16,20,29,69,0.42,7,22,0.318,13,19,0.684,10,34,20,8,3,14,24
9,2022-12-10,12:00p,REG,Penn State,,False,Big Ten,13.04,L,59,74,7,3,True,0,1,23,52,0.442,7,23,0.304,6,12,0.5,7,31,11,4,4,11,11,27,54,0.5,12,24,0.5,8,10,0.8,3,25,13,9,1,9,15
10,2022-12-17,4:00p,REG,Alabama A&M,,False,SWAC,-10.78,W,68,47,8,3,True,1,0,24,57,0.421,7,27,0.259,13,23,0.565,14,40,9,7,6,18,16,17,56,0.304,3,17,0.176,10,14,0.714,10,31,2,7,6,17,23
11,2022-12-22,9:00p,REG,Missouri,,False,SEC,11.41,L,71,93,8,4,False,0,1,25,62,0.403,7,31,0.226,14,19,0.737,18,35,10,6,1,16,16,35,59,0.593,10,20,0.5,13,18,0.722,8,24,23,13,2,10,20
12,2022-12-29,8:30p,REG,Bethune-Cookman,,False,SWAC,-17.15,W,85,52,9,4,True,1,0,29,59,0.492,8,28,0.286,19,27,0.704,9,38,17,10,10,15,16,17,58,0.293,3,13,0.231,15,20,0.75,9,33,6,12,3,20,21
13,2023-01-04,9:00p,REG,Northwestern,,False,Big Ten,13.68,L,60,73,9,5,False,0,1,23,58,0.397,8,28,0.286,6,10,0.6,7,34,13,2,6,15,29,17,53,0.321,7,18,0.389,32,40,0.8,8,31,11,11,3,7,17
14,2023-01-07,1:30p,REG,Wisconsin,14.0,True,Big Ten,10.98,W,79,69,10,5,True,1,0,25,53,0.472,10,19,0.526,19,26,0.731,7,37,14,5,6,10,14,28,64,0.438,8,29,0.276,5,12,0.417,10,34,12,6,2,9,21
15,2023-01-10,9:00p,REG,Nebraska,,False,Big Ten,7.12,W,76,50,11,5,False,2,0,28,61,0.459,8,29,0.276,12,18,0.667,13,39,15,12,7,10,21,20,54,0.37,4,14,0.286,6,11,0.545,7,29,8,3,2,17,17
