,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Terrence Shannon,0,SR,G,6-6,210.0,"Chicago, IL",Lincoln Park HS,81 (2019),31,30,32.1,5.1,11.6,0.442,3.5,6.6,0.534,1.6,5.0,0.321,5.4,6.8,0.79,1.2,3.4,4.6,2.8,1.3,0.5,2.6,2.4,17.2
1,Matthew Mayer,24,SR,G,6-9,225.0,"Austin, TX",Westlake HS,86 (2018),33,33,26.6,4.0,9.9,0.407,2.0,3.8,0.532,2.0,6.2,0.33,2.4,3.3,0.741,1.0,4.4,5.3,1.1,0.8,1.2,1.4,2.4,12.5
2,Coleman Hawkins,33,JR,F,6-10,200.0,"Sacramento, CA",Prolific Prep,,33,33,32.5,3.7,8.5,0.441,2.6,4.5,0.585,1.1,4.0,0.28,1.3,2.1,0.614,1.9,4.3,6.3,3.0,1.1,1.2,2.5,1.8,9.9
3,Dain Dainja,42,SO,F,6-9,270.0,"Brooklyn Park, MN",Park Center HS,70 (2020),33,21,20.5,4.0,6.2,0.636,4.0,6.2,0.636,0.0,0.0,,1.6,3.1,0.525,2.0,3.5,5.5,0.5,0.8,1.2,1.5,1.9,9.5
4,Jayden Epps,3,FR,G,6-2,190.0,"Norfolk, VA",King's Fork (VA); Combine Academy (NC),77 (2022),31,11,24.6,3.6,8.6,0.414,2.4,4.7,0.51,1.2,4.0,0.301,1.1,1.5,0.778,0.2,1.6,1.8,1.5,0.6,0.2,1.3,1.5,9.5
5,RJ Melendez,15,SO,G,6-7,205.0,"Arecibo, Puerto Rico",Central Pointe Christian HS,81 (2021),32,18,21.5,2.0,5.3,0.376,1.3,2.5,0.506,0.8,2.8,0.264,1.3,1.5,0.833,1.0,2.5,3.5,0.9,0.7,0.4,0.9,1.7,6.0
6,Sencire Harris,1,FR,G,6-4,160.0,"Canton, OH",St. VincentâSt. Mary (OH),86 (2022),33,7,14.5,1.6,3.7,0.43,1.2,2.4,0.488,0.4,1.2,0.317,0.1,0.6,0.2,0.6,1.5,2.1,0.9,0.8,0.3,0.6,1.5,3.7
7,Ty Rodgers,20,FR,G,6-6,200.0,"Saginaw, MI",Grand Blanc (MI); Thornton Township (IL),57 (2022),33,0,17.4,1.5,2.8,0.516,1.5,2.8,0.522,0.0,0.0,0.0,0.4,0.9,0.387,1.6,2.4,4.0,1.0,0.7,0.2,0.8,1.8,3.3
8,Skyy Clark,55,FR,G,6-3,200.0,"Los Angeles, CA",Heritage Christian (CA); Montverde Academy (FL),32 (2022),13,12,24.5,2.3,5.6,0.411,1.2,2.2,0.536,1.2,3.5,0.333,1.2,1.8,0.696,0.5,3.2,3.7,2.1,0.5,0.2,2.1,2.8,7.0
9,Luke Goode,10,SO,G,6-7,200.0,"Fort Wayne, IN",Homestead (IN),98 (2021),10,0,13.9,1.5,3.1,0.484,0.7,1.2,0.583,0.8,1.9,0.421,0.2,0.2,1.0,0.4,1.2,1.6,0.4,0.5,0.4,0.2,1.7,4.0
10,Brandon Lieb,12,JR,C,7-0,210.0,"Deerfield, IL",Deerfield HS,,16,0,3.7,0.4,0.8,0.583,0.4,0.8,0.583,0.0,0.0,,0.1,0.3,0.2,0.3,0.8,1.1,0.1,0.0,0.4,0.3,0.9,0.9
11,Paxton Warden,22,FR,G,6-4,180.0,"Glen Ellyn, IL",Glenbard West (IL),,10,0,1.5,0.1,0.4,0.25,0.1,0.1,1.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2
12,Connor Serven,2,JR,F,6-9,215.0,"Bushnell, IL",St. Rita HS,,5,0,3.8,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.0,0.2,0.4,0.5,0.2,0.6,0.8,0.0,0.2,0.0,0.4,0.4,0.2
13,Zacharie Perrin,25,FR,F,6-10,,,,,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,AJ Redd,5,FR,G,6-3,170.0,"Chicago, IL",St. Ignatius (IL),,2,0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
