,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2023-11-06,,Eastern Illinois,W,80,52,29,58,.500,10,31,.323,12,23,.522,8,46,15,4,5,12,13,,20,69,.290,4,11,.364,8,16,.500,10,34,7,4,2,7,22
1,2,2023-11-10,,Oakland,W,64,53,26,55,.473,4,16,.250,8,16,.500,8,33,13,3,2,9,8,,21,56,.375,5,20,.250,6,9,.667,7,31,4,7,1,7,16
2,3,2023-11-14,,Marquette,L,64,71,21,60,.350,11,33,.333,11,13,.846,11,37,8,6,7,15,15,,27,62,.435,5,17,.294,12,20,.600,9,36,7,9,0,8,14
3,4,2023-11-17,,Valparaiso,W,87,64,33,75,.440,9,28,.321,12,24,.500,13,56,16,4,4,9,16,,24,80,.300,5,19,.263,11,15,.733,13,47,4,4,7,7,21
4,5,2023-11-19,,Southern,W,88,60,36,63,.571,5,22,.227,11,17,.647,15,48,18,4,3,21,12,,23,61,.377,5,24,.208,9,14,.643,4,16,10,13,1,12,14
5,6,2023-11-24,,Western Illinois,W,84,52,34,72,.472,10,25,.400,6,12,.500,14,48,9,5,9,8,8,,21,72,.292,6,25,.240,4,8,.500,9,31,6,5,5,10,15
6,7,2023-12-02,@,Rutgers,W,76,58,30,66,.455,9,21,.429,7,11,.636,14,49,12,3,4,15,20,,20,60,.333,6,13,.462,12,20,.600,6,23,9,9,9,10,17
7,8,2023-12-05,N,Florida Atlantic,W,98,89,36,57,.632,8,20,.400,18,20,.900,4,23,10,4,3,13,18,,31,64,.484,9,23,.391,18,22,.818,10,26,23,7,1,13,16
8,9,2023-12-09,@,Tennessee,L,79,86,23,65,.354,9,36,.250,24,28,.857,8,30,9,5,2,8,22,,27,60,.450,6,18,.333,26,34,.765,12,39,21,6,3,8,20
9,10,2023-12-17,,Colgate,W,74,57,23,55,.418,8,23,.348,20,22,.909,12,39,10,5,6,13,11,,26,61,.426,3,15,.200,2,6,.333,6,23,10,4,1,11,18
10,11,2023-12-22,N,Missouri,W,97,73,32,65,.492,11,33,.333,22,31,.710,15,47,17,5,4,10,14,,29,74,.392,6,27,.222,9,16,.563,8,30,6,8,4,6,23
11,12,2023-12-29,,FDU,W,104,71,36,69,.522,13,32,.406,19,26,.731,17,48,21,5,4,13,12,,27,70,.386,12,29,.414,5,7,.714,7,21,17,8,5,11,19
12,13,2024-01-02,,Northwestern,W,96,66,35,56,.625,10,18,.556,16,20,.800,9,33,17,2,5,10,13,,25,61,.410,8,16,.500,8,8,1.000,8,23,8,3,0,10,20
13,14,2024-01-05,@,Purdue,L,78,83,26,61,.426,8,19,.421,18,21,.857,11,25,15,5,3,10,19,,27,60,.450,9,19,.474,20,25,.800,16,40,18,5,4,12,17
