,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,Terrence Shannon,0,SR,G,6-6,210,"Chicago, IL",Lincoln Park HS,81 (2019),"23.0 Pts, 4.0 Reb, 2.3 Ast"
1,Marcus Domask,3,SR,F,6-6,215,"Waupun, WI",Waupun HS,,"15.9 Pts, 5.0 Reb, 3.9 Ast"
2,Coleman Hawkins,33,SR,F,6-10,200,"Sacramento, CA",Prolific Prep,,"12.1 Pts, 6.1 Reb, 2.7 Ast"
3,Quincy Guerrier,13,SR,F,6-7,220,"Montreal, Canada",Thetford Academy,,"9.6 Pts, 6.1 Reb, 0.3 Ast"
4,Ty Rodgers,20,SO,G,6-6,200,"Saginaw, MI",Grand Blanc (MI); Thornton Township (IL),57 (2022),"6.2 Pts, 5.3 Reb, 2.0 Ast"
5,Dain Dainja,42,JR,F,6-9,270,"Brooklyn Park, MN",Park Center HS,70 (2020),"6.1 Pts, 3.6 Reb, 0.2 Ast"
6,Luke Goode,10,JR,G,6-7,200,"Fort Wayne, IN",Homestead (IN),98 (2021),"5.7 Pts, 3.6 Reb, 0.6 Ast"
7,Justin Harmon,4,SR,G,6-4,180,"Chicago, IL",Curie (IL),,"5.6 Pts, 2.7 Reb, 1.1 Ast"
8,Dra Gibbs-Lawhorn,2,FR,G,6-1,185,"Lafayette, IN",McCutcheon (IN); Real Salt Lake Academy (UT); Montverde Academy (FL); Word of God Christian Academy (NC),,"2.4 Pts, 0.9 Reb, 0.4 Ast"
9,Amani Hansberry,35,FR,F,6-8,240,"Baltimore, MD",Mount Saint Joseph (MD),58 (2023),"2.4 Pts, 2.1 Reb, 0.3 Ast"
10,Niccolo Moretti,11,FR,G,6-1,170,"Bologna, Italy",DME Academy (FL); NBA Global Academy (Australia),,"1.5 Pts, 0.8 Reb, 0.6 Ast"
11,AJ Redd,5,SO,G,6-3,170,"Chicago, IL",St. Ignatius (IL),,"0.3 Pts, 0.2 Reb, 0.0 Ast"
12,Max Williams,25,JR,G,6-2,190,"Chicago, IL",IMG Academy,,"0.3 Pts, 0.3 Reb, 0.0 Ast"
13,Sencire Harris,1,SO,G,6-4,,,,86 (2022),
14,Keaton Kutcher,22,JR,G,6-2,,,,,
