,G,Date,Time,Type,,Opponent,Conf,SRS,,Tm,Opp,OT,W,L,Streak,Arena
0,1,"Mon, Nov 6, 2023",8:00p,REG,,Eastern Illinois,OVC,-11.60,W,80,52,,1,0,W 1,State Farm Center
1,2,"Fri, Nov 10, 2023",8:00p,REG,,Oakland,Horizon,2.02,W,64,53,,2,0,W 2,State Farm Center
2,3,"Tue, Nov 14, 2023",8:00p,REG,,Marquette(4),Big East,19.27,L,64,71,,2,1,L 1,State Farm Center
3,4,"Fri, Nov 17, 2023",8:00p,REG,,Valparaiso,MVC,-8.25,W,87,64,,3,1,W 1,State Farm Center
4,5,"Sun, Nov 19, 2023",8:00p,REG,,Southern,SWAC,-8.74,W,88,60,,4,1,W 2,State Farm Center
5,6,"Fri, Nov 24, 2023",9:00p,REG,,Western Illinois,OVC,-8.75,W,84,52,,5,1,W 3,State Farm Center
6,7,"Sat, Dec 2, 2023",4:00p,REG,@,Rutgers,Big Ten,7.41,W,76,58,,6,1,W 4,Jersey Mike's Arena
7,8,"Tue, Dec 5, 2023",6:30p,REG,N,Florida Atlantic(11),AAC,13.26,W,98,89,,7,1,W 5,Madison Square Garden (IV)
8,9,"Sat, Dec 9, 2023",12:00p,REG,@,Tennessee(17),SEC,21.81,L,79,86,,7,2,L 1,Thompson-Boling Arena
9,10,"Sun, Dec 17, 2023",1:00p,REG,,Colgate,Patriot,-0.31,W,74,57,,8,2,W 1,State Farm Center
10,11,"Fri, Dec 22, 2023",9:00p,REG,N,Missouri,SEC,3.27,W,97,73,,9,2,W 2,Enterprise Center
11,12,"Fri, Dec 29, 2023",9:00p,REG,,FDU,NEC,-14.41,W,104,71,,10,2,W 3,State Farm Center
12,13,"Tue, Jan 2, 2024",9:00p,REG,,Northwestern,Big Ten,12.77,W,96,66,,11,2,W 4,State Farm Center
13,14,"Fri, Jan 5, 2024",8:30p,REG,@,Purdue(1),Big Ten,24.93,L,78,83,,11,3,L 1,Mackey Arena
14,15,"Thu, Jan 11, 2024",9:00p,REG,,Michigan State,Big Ten,17.72,W,71,68,,12,3,W 1,State Farm Center
15,16,"Sun, Jan 14, 2024",2:00p,REG,,Maryland,Big Ten,10.60,L,67,76,,12,4,L 1,State Farm Center
16,17,"Thu, Jan 18, 2024",8:30p,REG,@,Michigan,Big Ten,5.28,W,88,73,,13,4,W 1,Crisler Center
17,18,"Sun, Jan 21, 2024",1:00p,REG,,Rutgers,Big Ten,7.41,W,86,63,,14,4,W 2,State Farm Center
18,19,"Wed, Jan 24, 2024",9:00p,REG,@,Northwestern,Big Ten,12.77,L,91,96,OT,14,5,L 1,Welsh-Ryan Arena
19,20,"Sat, Jan 27, 2024",3:00p,REG,,Indiana,Big Ten,7.74,W,70,62,,15,5,W 1,State Farm Center
20,21,"Tue, Jan 30, 2024",7:00p,REG,@,Ohio State,Big Ten,13.64,W,87,75,,16,5,W 2,Value City Arena
21,22,"Sun, Feb 4, 2024",6:30p,REG,,Nebraska,Big Ten,14.36,W,87,84,OT,17,5,W 3,State Farm Center
22,23,"Sat, Feb 10, 2024",2:00p,REG,@,Michigan State,Big Ten,17.72,L,80,88,,17,6,L 1,Breslin Student Events Center
23,24,"Tue, Feb 13, 2024",7:00p,REG,,Michigan,Big Ten,5.28,W,97,68,,18,6,W 1,State Farm Center
24,25,"Sat, Feb 17, 2024",5:30p,REG,@,Maryland,Big Ten,10.60,W,85,80,,19,6,W 2,Xfinity Center
25,26,"Wed, Feb 21, 2024",6:30p,REG,@,Penn State,Big Ten,9.22,L,89,90,,19,7,L 1,
26,27,"Sat, Feb 24, 2024",2:15p,REG,,Iowa,Big Ten,13.00,W,95,85,,20,7,W 1,State Farm Center
27,28,"Wed, Feb 28, 2024",9:00p,REG,,Minnesota,Big Ten,9.51,W,105,97,,21,7,W 2,State Farm Center
28,29,"Sat, Mar 2, 2024",1:00p,REG,@,Wisconsin,Big Ten,16.01,W,91,83,,22,7,W 3,
29,30,"Tue, Mar 5, 2024",7:00p,REG,,Purdue(3),Big Ten,24.93,L,71,77,,22,8,L 1,State Farm Center
30,31,"Sun, Mar 10, 2024",7:00p,REG,@,Iowa,Big Ten,13.00,W,73,61,,23,8,W 1,Carver-Hawkeye Arena
31,G,Date,Time,Type,,Opponent,Conf,SRS,,Tm,Opp,OT,W,L,Streak,Arena
32,32,"Fri, Mar 15, 2024",6:30p,CTOURN,N,Ohio State,Big Ten,13.64,W,77,74,,24,8,W 2,Target Center
33,33,"Sat, Mar 16, 2024",3:30p,CTOURN,N,Nebraska,Big Ten,14.36,W,98,87,,25,8,W 3,Target Center
34,34,"Sun, Mar 17, 2024",3:30p,CTOURN,N,Wisconsin,Big Ten,16.01,W,93,87,,26,8,W 4,Target Center
35,G,Date,Time,Type,,Opponent,Conf,SRS,,Tm,Opp,OT,W,L,Streak,Arena
36,35,"Thu, Mar 21, 2024",3:10p,NCAA,N,Morehead State,OVC,0.51,W,85,69,,27,8,W 5,CHI Health Center Omaha
37,36,"Sat, Mar 23, 2024",8:40p,NCAA,N,Duquesne,A-10,7.35,W,89,63,,28,8,W 6,CHI Health Center Omaha
38,37,"Thu, Mar 28, 2024",10:09p,NCAA,N,Iowa State(8),Big 12,22.30,W,72,69,,29,8,W 7,TD Garden
39,38,"Sat, Mar 30, 2024",6:09p,NCAA,N,Connecticut(1),Big East,26.70,L,52,77,,29,9,L 1,TD Garden
