,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Terrence Shannon,32,31,33.9,6.8,14.4,.475,4.4,7.8,.573,2.4,6.7,.362,6.9,8.6,.801,0.8,3.2,4.0,2.3,1.0,0.9,2.0,2.2,23.0
1,2,Marcus Domask,38,38,34.5,5.7,12.6,.453,4.6,8.9,.516,1.1,3.6,.297,3.4,3.9,.872,1.1,3.9,5.0,3.9,0.4,0.3,2.3,1.3,15.9
2,3,Coleman Hawkins,35,35,31.6,4.1,9.1,.451,2.4,4.5,.535,1.7,4.6,.369,2.2,2.7,.792,1.4,4.7,6.1,2.7,1.5,1.1,1.6,2.6,12.1
3,4,Quincy Guerrier,38,38,24.1,3.3,7.0,.476,2.2,4.0,.553,1.1,3.0,.374,1.7,3.1,.569,1.7,4.4,6.1,0.3,0.3,0.3,0.9,1.8,9.6
4,5,Ty Rodgers,38,38,22.7,2.6,4.9,.527,2.6,4.9,.527,0.0,0.0,,1.0,1.7,.585,2.3,3.0,5.3,2.0,0.4,0.4,1.3,1.7,6.2
5,6,Dain Dainja,38,3,10.8,2.7,4.0,.669,2.7,4.0,.669,0.0,0.0,,0.8,1.7,.477,1.5,2.1,3.6,0.2,0.2,0.6,0.7,1.1,6.1
6,7,Luke Goode,38,7,20.1,1.9,4.7,.397,0.3,0.6,.455,1.6,4.1,.389,0.4,0.6,.652,1.1,2.5,3.6,0.6,0.3,0.1,0.5,1.8,5.7
7,8,Justin Harmon,38,0,18.8,1.9,4.8,.407,1.4,2.9,.473,0.6,1.9,.306,1.1,1.2,.915,0.9,1.8,2.7,1.1,0.4,0.2,0.7,1.6,5.6
8,9,Dra Gibbs-Lawhorn,28,0,7.1,0.9,2.7,.342,0.6,1.4,.450,0.3,1.3,.222,0.2,0.3,.667,0.3,0.6,0.9,0.4,0.1,0.1,0.4,1.0,2.4
9,10,Amani Hansberry,19,0,7.4,1.0,2.2,.452,0.8,1.5,.517,0.2,0.7,.308,0.2,0.3,.667,0.6,1.5,2.1,0.3,0.2,0.2,0.1,1.2,2.4
10,11,Niccolo Moretti,18,0,5.9,0.4,0.7,.667,0.3,0.5,.667,0.1,0.2,.667,0.5,0.8,.643,0.1,0.7,0.8,0.6,0.1,0.0,0.5,0.4,1.5
11,12,AJ Redd,10,0,2.0,0.1,0.2,.500,0.1,0.2,.500,0.0,0.0,,0.1,0.4,.250,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.1,0.3
12,13,Max Williams,10,0,1.3,0.0,0.2,.000,0.0,0.1,.000,0.0,0.1,.000,0.3,0.4,.750,0.1,0.2,0.3,0.0,0.0,0.0,0.2,0.0,0.3
