,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,Kofi Cockburn,21,JR,C,7-0,285,"Kingston, Jamaica",Oak Hill Academy,43 (2019),"20.9 Pts, 10.6 Reb, 0.8 Ast"
1,Alfonso Plummer,11,SR,G,6-1,182,"Fajardo, Puerto Rico",La Luz Juncos (PR),,"14.6 Pts, 2.5 Reb, 1.1 Ast"
2,Trent Frazier,1,SR,G,6-2,175,"Wellington, FL",Wellington High School,,"11.6 Pts, 2.8 Reb, 4.1 Ast"
3,Jacob Grandison,3,SR,G,6-6,205,"Oakland, CA",Phillips Exeter Academy,,"9.6 Pts, 3.8 Reb, 2.3 Ast"
4,Coleman Hawkins,33,SO,F,6-10,200,"Sacramento, CA",Prolific Prep,,"5.9 Pts, 4.3 Reb, 1.5 Ast"
5,Andre Curbelo,5,SO,G,6-1,175,"Vega Baja, Puerto Rico",Long Island Lutheran HS,45 (2020),"7.5 Pts, 3.1 Reb, 3.2 Ast"
6,Da'Monte Williams,20,SR,G,6-3,215,"Peoria, IL",Manual HS,,"3.9 Pts, 5.0 Reb, 2.5 Ast"
7,RJ Melendez,15,FR,G,6-7,205,"Arecibo, Puerto Rico",Central Pointe Christian HS,81 (2021),"3.8 Pts, 1.7 Reb, 0.7 Ast"
8,Omar Payne,4,JR,F,6-10,230,"Kissimmee, FL",Montverde Academy,46 (2019),"1.8 Pts, 1.7 Reb, 0.2 Ast"
9,Luke Goode,10,FR,G,6-7,200,"Fort Wayne, IN",Homestead (IN),98 (2021),"2.0 Pts, 1.8 Reb, 0.5 Ast"
10,Benjamin Bosmans-Verdonk,13,JR,F,6-8,235,"Lommel, Belgium",KA Pegasus (Belgium),,"1.6 Pts, 2.1 Reb, 0.6 Ast"
11,Brandin Podziemski,0,FR,G,6-5,200,"Muskego, WI",St. John's Northwestern (WI),79 (2021),"1.4 Pts, 0.9 Reb, 0.3 Ast"
12,Austin Hutcherson,22,SR,G,6-6,180,"New York, NY",Hun School of Princeton (NJ),,"2.8 Pts, 2.0 Reb, 0.5 Ast"
13,Brandon Lieb,12,SO,C,7-0,210,"Deerfield, IL",Deerfield HS,,"0.8 Pts, 0.7 Reb, 0.1 Ast"
14,Connor Serven,2,SO,F,6-9,215,"Bushnell, IL",St. Rita HS,,"0.0 Pts, 0.2 Reb, 0.0 Ast"
