Date,Time,Type,Opponent,Rank,Ranked Match,Conf,SRS,Result,PF,PA,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
2019-11-05,8:00p,REG,Nicholls State,,False,Southland,-3.87,W,78,70,1,0,True,1,0,27,61,0.443,5,19,0.263,19,29,0.655,17,50,12,6,2,22,17,27,66,0.409,8,20,0.4,8,9,0.889,3,18,13,11,4,16,29
2019-11-08,9:00p,REG,Grand Canyon,,False,WAC,-6.32,W,83,71,2,0,False,2,0,29,64,0.453,4,13,0.308,21,30,0.7,16,46,13,5,0,17,21,27,61,0.443,8,19,0.421,9,16,0.563,6,23,12,4,0,11,23
2019-11-10,9:00p,REG,Arizona,21.0,True,Pac-12,19.49,L,69,90,2,1,False,0,1,25,53,0.472,5,16,0.313,14,20,0.7,6,25,10,4,2,22,22,34,61,0.557,7,16,0.438,15,22,0.682,10,32,20,14,3,16,23
2019-11-18,8:00p,REG,Hawaii,,False,Big West,-1.27,W,66,53,3,1,True,1,0,23,54,0.426,5,12,0.417,15,23,0.652,10,43,14,3,3,15,8,24,64,0.375,3,22,0.136,2,3,0.667,4,25,9,7,2,9,18
2019-11-20,9:00p,REG,The Citadel,,False,Southern,-13.82,W,85,57,4,1,True,2,0,33,68,0.485,3,18,0.167,16,21,0.762,21,53,17,4,4,13,13,21,74,0.284,10,38,0.263,5,7,0.714,15,27,10,8,2,11,19
2019-11-23,8:00p,REG,Hampton,,False,Big South,-12.02,W,120,71,5,1,True,3,0,45,70,0.643,8,18,0.444,22,27,0.815,13,41,29,9,1,9,14,28,64,0.438,6,16,0.375,9,14,0.643,7,19,12,3,0,16,21
2019-11-26,8:00p,REG,Lindenwood,,False,,,W,117,65,6,1,True,4,0,39,63,0.619,11,25,0.44,28,37,0.757,10,39,25,13,4,14,13,25,64,0.391,11,30,0.367,4,5,0.8,7,22,10,10,0,24,30
2019-12-02,7:00p,REG,Miami (FL),,False,ACC,6.63,L,79,81,6,2,True,0,1,28,53,0.528,6,17,0.353,17,23,0.739,8,30,16,4,4,13,17,32,54,0.593,10,18,0.556,7,13,0.538,4,21,9,7,2,10,21
2019-12-07,5:00p,REG,Maryland,3.0,True,Big Ten,17.82,L,58,59,6,3,False,0,2,22,56,0.393,3,14,0.214,11,16,0.688,8,36,10,5,1,13,17,21,63,0.333,8,31,0.258,9,11,0.818,12,38,12,6,4,11,17
2019-12-11,9:00p,REG,Michigan,5.0,True,Big Ten,17.94,W,71,62,7,3,True,1,0,28,61,0.459,1,11,0.091,14,20,0.7,11,37,6,5,6,12,10,27,62,0.435,3,18,0.167,5,6,0.833,5,24,12,6,5,8,18
2019-12-14,6:00p,REG,Old Dominion,,False,CUSA,0.02,W,69,55,8,3,True,2,0,22,47,0.468,7,20,0.35,18,20,0.9,4,28,15,7,2,15,12,21,57,0.368,6,18,0.333,7,8,0.875,8,27,12,7,0,18,23
