,Date,Time,Type,Opponent,Rank,Ranked Match,Conf,SRS,Result,PF,PA,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
0,2020-11-25,2:00p,REG,North Carolina A&T,,False,MEAC,-14.27,W,122,60,1,0,True,1,0,44,75,0.587,17,31,0.548,17,24,0.708,18,58,31,5,4,15,18,22,64,0.344,5,19,0.263,11,21,0.524,4,16,10,9,0,12,21
1,2020-11-26,12:00p,REG,Chicago State,,False,WAC,-31.82,W,97,38,2,0,True,2,0,36,60,0.6,7,18,0.389,18,24,0.75,15,52,16,6,3,18,14,15,54,0.278,4,24,0.167,4,10,0.4,1,8,6,9,1,15,22
2,2020-11-27,1:00p,REG,Ohio,,False,MAC,5.48,W,77,75,3,0,True,3,0,28,58,0.483,6,15,0.4,15,24,0.625,10,42,14,3,1,15,14,31,65,0.477,9,19,0.474,4,9,0.444,3,22,16,10,3,6,18
3,2020-12-02,10:00p,REG,Baylor,2.0,True,Big 12,24.83,L,69,82,3,1,False,0,1,26,59,0.441,7,18,0.389,10,16,0.625,9,33,16,3,4,12,20,30,66,0.455,7,18,0.389,15,24,0.625,16,37,14,7,4,7,16
4,2020-12-08,9:30p,REG,Duke,10.0,True,ACC,13.04,W,83,68,4,1,False,1,0,29,50,0.58,7,11,0.636,18,24,0.75,3,35,13,7,5,18,20,27,67,0.403,5,22,0.227,9,16,0.563,10,31,14,8,5,12,19
5,2020-12-12,8:00p,REG,Missouri,,False,SEC,12.37,L,78,81,4,2,False,0,1,29,55,0.527,3,13,0.231,17,28,0.607,2,20,10,9,2,13,25,25,53,0.472,5,21,0.238,26,31,0.839,7,31,9,4,2,18,27
6,2020-12-15,7:00p,REG,Minnesota,,False,Big Ten,11.04,W,92,65,5,2,True,1,0,34,64,0.531,7,19,0.368,17,25,0.68,7,49,21,2,2,13,27,19,69,0.275,7,28,0.25,20,32,0.625,10,32,10,7,6,8,19
7,2020-12-20,1:00p,REG,Rutgers,19.0,True,Big Ten,14.14,L,88,91,5,3,False,0,1,34,63,0.54,9,15,0.6,11,15,0.733,8,32,20,4,0,13,26,29,62,0.468,8,20,0.4,25,36,0.694,13,33,12,8,8,9,17
8,2020-12-23,6:30p,REG,Penn State,,False,Big Ten,13.53,W,98,81,6,3,False,1,0,35,63,0.556,5,16,0.313,23,28,0.821,12,33,20,5,2,10,15,35,65,0.538,7,23,0.304,4,7,0.571,8,25,15,6,5,12,23
9,2020-12-26,4:00p,REG,Indiana,,False,Big Ten,12.79,W,69,60,7,3,True,2,0,24,54,0.444,7,20,0.35,14,18,0.778,7,38,15,5,2,11,9,23,58,0.397,7,18,0.389,7,9,0.778,2,26,9,6,4,7,15
10,2021-01-02,6:00p,REG,Purdue,,False,Big Ten,15.55,W,66,58,8,3,True,3,0,25,52,0.481,7,20,0.35,9,22,0.409,5,36,17,6,6,11,15,22,56,0.393,7,16,0.438,7,12,0.583,5,32,11,3,4,14,20
