Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ayo Dosunmu,11,SO,G,6-5,200,"Chicago, IL",Morgan Park HS,32 (2018),30,30.0,33.5,6.5,13.5,0.484,1.0,3.3,0.296,5.6,10.2,0.544,0.52,2.6,3.4,0.755,0.6,3.7,4.3,3.3,0.8,0.2,2.7,1.7,16.6
Kofi Cockburn,21,FR,C,7-0,285,"Kingston, Jamaica",Oak Hill Academy,43 (2019),31,31.0,27.4,4.9,9.2,0.532,0.0,0.0,0.0,4.9,9.1,0.534,0.532,3.6,5.3,0.677,3.5,5.3,8.8,0.6,0.5,1.4,1.9,2.6,13.3
Andres Feliz,10,SR,G,6-2,195,"Guachupita, Dominican Republic",West Oaks (FL),,31,15.0,26.8,3.9,8.5,0.46,0.5,2.0,0.274,3.4,6.5,0.517,0.492,2.6,3.4,0.769,1.0,4.0,5.0,2.9,0.7,0.0,1.4,1.7,11.0
Trent Frazier,1,JR,G,6-2,175,"Wellington, FL",Wellington High School,,31,30.0,30.5,2.8,8.5,0.327,1.6,5.3,0.309,1.1,3.2,0.357,0.424,1.9,2.2,0.853,0.2,2.0,2.2,1.9,0.9,0.0,0.9,2.5,9.1
Alan Griffin,0,SO,G,6-5,190,"Ossining, NY",Archbishop Stepinac HS,,28,1.0,18.1,3.1,6.4,0.483,1.7,4.0,0.416,1.4,2.3,0.6,0.615,1.1,1.3,0.861,1.8,2.8,4.5,0.6,0.5,0.2,0.8,1.1,8.9
Giorgi Bezhanishvili,15,SO,F,6-9,245,"Rustavi, Georgia",The Patrick School,,31,24.0,23.2,2.7,6.3,0.429,0.4,1.2,0.306,2.4,5.2,0.456,0.457,1.0,1.7,0.596,1.8,3.0,4.8,1.6,0.1,0.4,1.8,2.4,6.8
Kipper Nichols,2,SR,F,6-6,220,"Cleveland, OH",St. Edward HS,,31,1.0,13.8,1.3,3.5,0.383,0.1,0.6,0.105,1.3,2.8,0.443,0.393,0.7,1.0,0.7,0.9,1.0,2.0,0.6,0.5,0.0,0.9,1.7,3.4
Da'Monte Williams,20,JR,G,6-3,215,"Peoria, IL",Manual HS,,31,22.0,21.6,0.8,2.4,0.347,0.4,1.5,0.283,0.4,0.9,0.448,0.433,0.7,1.0,0.7,0.5,3.1,3.6,1.3,0.7,0.4,0.7,1.4,2.8
Jermaine Hamlin,34,FR,C,6-10,235,"Lincoln, IL",Lincoln (IL),,16,0.0,4.1,0.4,0.5,0.75,0.0,0.0,,0.4,0.5,0.75,0.75,0.2,0.4,0.5,0.5,0.3,0.8,0.1,0.1,0.1,0.3,0.6,0.9
Tevian Jones,5,SO,G,6-7,190,"Chandler, AZ",Culver City HS,,14,0.0,4.8,0.3,1.7,0.167,0.2,1.1,0.188,0.1,0.6,0.125,0.229,0.1,0.1,0.5,0.3,0.4,0.7,0.1,0.0,0.1,0.3,0.9,0.9
Benjamin Bosmans-Verdonk,13,FR,F,6-8,235,"Lommel, Belgium",KA Pegasus (Belgium),,9,0.0,6.2,0.4,1.2,0.364,0.0,0.2,0.0,0.4,1.0,0.444,0.364,0.3,0.4,0.75,0.7,0.4,1.1,0.7,0.3,0.2,0.6,0.7,1.2
Tyler Underwood,32,JR,G,6-2,180,"Stillwater, OK",Nacogdoches High School,,14,1.0,3.4,0.1,0.6,0.222,0.1,0.4,0.333,0.0,0.2,0.0,0.333,0.2,0.4,0.6,0.0,0.2,0.2,0.4,0.0,0.0,0.1,0.3,0.6
Zach Griffith,4,JR,F,6-6,220,"Fisher, IL",Fishers HS,,8,0.0,2.4,0.3,0.4,0.667,0.0,0.0,,0.3,0.4,0.667,0.667,0.3,0.5,0.5,0.3,0.3,0.5,0.1,0.0,0.0,0.0,0.0,0.8
Samson Oladimeji,35,SR,G,6-4,210,"Rolling Meadows, IL",William Fremd High School,,8,0.0,2.0,0.1,0.4,0.333,0.0,0.3,0.0,0.1,0.1,1.0,0.333,0.0,0.0,,0.1,0.3,0.4,0.0,0.0,0.1,0.0,0.0,0.3
