,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kofi Cockburn,21,JR,C,7-0,285,"Kingston, Jamaica",Oak Hill Academy,43 (2019),28,28,30.7,8.1,13.6,0.593,0.0,0.0,,8.1,13.6,0.593,0.593,4.8,7.3,0.655,3.4,7.2,10.6,0.8,0.8,1.0,2.3,2.4,20.9
1,Alfonso Plummer,11,SR,G,6-1,182,"Fajardo, Puerto Rico",La Luz Juncos (PR),,33,29,30.2,4.7,11.0,0.424,3.0,7.3,0.408,1.7,3.7,0.455,0.559,2.3,2.6,0.874,0.3,2.1,2.5,1.1,0.3,0.0,1.3,1.6,14.6
2,Trent Frazier,1,SR,G,6-2,175,"Wellington, FL",Wellington High School,,31,30,34.7,3.9,9.8,0.397,2.0,6.2,0.328,1.9,3.6,0.513,0.5,1.8,2.1,0.833,0.5,2.3,2.8,4.1,1.3,0.1,1.8,2.0,11.6
3,Jacob Grandison,3,SR,G,6-6,205,"Oakland, CA",Phillips Exeter Academy,,30,23,25.0,3.4,7.5,0.455,1.8,4.5,0.41,1.6,3.0,0.522,0.578,0.9,1.1,0.824,1.1,2.7,3.8,2.3,0.3,0.2,1.2,1.7,9.6
4,Coleman Hawkins,33,SO,F,6-10,200,"Sacramento, CA",Prolific Prep,,33,14,19.0,2.1,4.7,0.442,0.6,2.0,0.292,1.5,2.7,0.551,0.503,1.2,1.8,0.65,1.4,2.8,4.3,1.5,0.8,0.5,1.4,1.9,5.9
5,Andre Curbelo,5,SO,G,6-1,175,"Vega Baja, Puerto Rico",Long Island Lutheran HS,45 (2020),19,4,19.3,2.6,7.8,0.329,0.3,1.8,0.176,2.3,6.1,0.374,0.349,2.0,2.7,0.745,0.6,2.5,3.1,3.2,0.7,0.1,2.8,2.3,7.5
6,Da'Monte Williams,20,SR,G,6-3,215,"Peoria, IL",Manual HS,,33,30,28.8,1.3,4.2,0.307,0.8,2.4,0.325,0.5,1.8,0.283,0.4,0.5,1.0,0.531,1.0,4.0,5.0,2.5,0.8,0.3,0.9,1.7,3.9
7,RJ Melendez,15,FR,G,6-7,205,"Arecibo, Puerto Rico",Central Pointe Christian HS,81 (2021),22,1,8.5,1.3,2.3,0.569,0.4,0.7,0.6,0.9,1.6,0.556,0.657,0.8,0.9,0.85,0.4,1.3,1.7,0.7,0.3,0.1,0.5,0.5,3.8
8,Omar Payne,4,JR,F,6-10,230,"Kissimmee, FL",Montverde Academy,46 (2019),32,3,7.4,0.7,1.1,0.618,0.0,0.0,,0.7,1.1,0.618,0.618,0.5,0.9,0.536,0.6,1.1,1.7,0.2,0.1,0.8,0.6,1.8,1.8
9,Luke Goode,10,FR,G,6-7,200,"Fort Wayne, IN",Homestead (IN),98 (2021),28,0,8.9,0.6,2.0,0.327,0.6,1.5,0.372,0.1,0.4,0.167,0.473,0.1,0.2,0.667,0.6,1.2,1.8,0.5,0.0,0.1,0.3,0.9,2.0
10,Benjamin Bosmans-Verdonk,13,JR,F,6-8,235,"Lommel, Belgium",KA Pegasus (Belgium),,24,2,7.8,0.7,1.5,0.472,0.0,0.0,,0.7,1.5,0.472,0.472,0.2,0.7,0.294,1.0,1.1,2.1,0.6,0.3,0.0,0.2,1.4,1.6
11,Brandin Podziemski,0,FR,G,6-5,200,"Muskego, WI",St. John's Northwestern (WI),79 (2021),16,0,4.3,0.5,1.2,0.421,0.2,0.8,0.231,0.3,0.4,0.833,0.5,0.2,0.3,0.75,0.1,0.8,0.9,0.3,0.1,0.0,0.3,0.4,1.4
12,Austin Hutcherson,22,SR,G,6-6,180,"New York, NY",Hun School of Princeton (NJ),,4,1,15.3,0.8,2.0,0.375,0.0,1.0,0.0,0.8,1.0,0.75,0.375,1.3,1.8,0.714,0.5,1.5,2.0,0.5,0.5,0.3,1.5,1.0,2.8
13,Brandon Lieb,12,SO,C,7-0,210,"Deerfield, IL",Deerfield HS,,10,0,2.4,0.4,0.5,0.8,0.0,0.0,,0.4,0.5,0.8,0.8,0.0,0.1,0.0,0.4,0.3,0.7,0.1,0.0,0.1,0.1,0.4,0.8
14,Connor Serven,2,SO,F,6-9,215,"Bushnell, IL",St. Rita HS,,6,0,2.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
