,Player,#,Class,Pos,Height,Weight,Summary,PTS,AST,REB
0,Terrence Shannon,0,SR,G,6-6,210.0,"17.2 Pts, 4.6 Reb, 2.8 Ast",17.2,2.8,4.6
1,Matthew Mayer,24,SR,G,6-9,225.0,"12.5 Pts, 5.3 Reb, 1.1 Ast",12.5,1.1,5.3
2,Coleman Hawkins,33,JR,F,6-10,200.0,"9.9 Pts, 6.3 Reb, 3.0 Ast",9.9,3.0,6.3
3,Dain Dainja,42,SO,F,6-9,270.0,"9.5 Pts, 5.5 Reb, 0.5 Ast",9.5,0.5,5.5
4,Jayden Epps,3,FR,G,6-2,190.0,"9.5 Pts, 1.8 Reb, 1.5 Ast",9.5,1.5,1.8
5,RJ Melendez,15,SO,G,6-7,205.0,"6.0 Pts, 3.5 Reb, 0.9 Ast",7.0,2.1,3.5
6,Sencire Harris,1,FR,G,6-4,160.0,"3.7 Pts, 2.1 Reb, 0.9 Ast",6.0,0.9,2.1
7,Ty Rodgers,20,FR,G,6-6,200.0,"3.3 Pts, 4.0 Reb, 1.0 Ast",4.0,0.4,4.0
8,Skyy Clark,55,FR,G,6-3,200.0,"7.0 Pts, 3.7 Reb, 2.1 Ast",3.7,0.9,3.7
9,Luke Goode,10,SO,G,6-7,200.0,"4.0 Pts, 1.6 Reb, 0.4 Ast",3.3,1.0,1.6
10,Brandon Lieb,12,JR,C,7-0,210.0,"0.9 Pts, 1.1 Reb, 0.1 Ast",0.9,0.1,1.1
11,Paxton Warden,22,FR,G,6-4,180.0,"0.2 Pts, 0.0 Reb, 0.0 Ast",0.2,0.0,0.0
12,Connor Serven,2,JR,F,6-9,215.0,"0.2 Pts, 0.8 Reb, 0.0 Ast",0.2,0.0,0.8
13,Zacharie Perrin,25,FR,F,6-10,,"0.0 Pts, 0.0 Reb, 0.0 Ast",0.0,0.0,0.0
14,AJ Redd,5,FR,G,6-3,170.0,"0.0 Pts, 0.0 Reb, 0.0 Ast",0.0,0.0,0.0
