,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Terrence Shannon,0,SR,G,6-6,210.0,"Chicago, IL",Lincoln Park HS,81 (2019),"23.0 Pts, 4.0 Reb, 2.3 Ast",32,31,33.9,6.8,14.4,0.475,4.4,7.8,0.573,2.4,6.7,0.362,6.9,8.6,0.801,0.8,3.2,4.0,2.3,1.0,0.9,2.0,2.2,23.0
1,Marcus Domask,3,SR,F,6-6,215.0,"Waupun, WI",Waupun HS,,"15.9 Pts, 5.0 Reb, 3.9 Ast",38,38,34.5,5.7,12.6,0.453,4.6,8.9,0.516,1.1,3.6,0.297,3.4,3.9,0.872,1.1,3.9,5.0,3.9,0.4,0.3,2.3,1.3,15.9
2,Coleman Hawkins,33,SR,F,6-10,200.0,"Sacramento, CA",Prolific Prep,,"12.1 Pts, 6.1 Reb, 2.7 Ast",35,35,31.6,4.1,9.1,0.451,2.4,4.5,0.535,1.7,4.6,0.369,2.2,2.7,0.792,1.4,4.7,6.1,2.7,1.5,1.1,1.6,2.6,12.1
3,Quincy Guerrier,13,SR,F,6-7,220.0,"Montreal, Canada",Thetford Academy,,"9.6 Pts, 6.1 Reb, 0.3 Ast",38,38,24.1,3.3,7.0,0.476,2.2,4.0,0.553,1.1,3.0,0.374,1.7,3.1,0.569,1.7,4.4,6.1,0.3,0.3,0.3,0.9,1.8,9.6
4,Ty Rodgers,20,SO,G,6-6,200.0,"Saginaw, MI",Grand Blanc (MI); Thornton Township (IL),57 (2022),"6.2 Pts, 5.3 Reb, 2.0 Ast",38,38,22.7,2.6,4.9,0.527,2.6,4.9,0.527,0.0,0.0,,1.0,1.7,0.585,2.3,3.0,5.3,2.0,0.4,0.4,1.3,1.7,6.2
5,Dain Dainja,42,JR,F,6-9,270.0,"Brooklyn Park, MN",Park Center HS,70 (2020),"6.1 Pts, 3.6 Reb, 0.2 Ast",38,3,10.8,2.7,4.0,0.669,2.7,4.0,0.669,0.0,0.0,,0.8,1.7,0.477,1.5,2.1,3.6,0.2,0.2,0.6,0.7,1.1,6.1
6,Luke Goode,10,JR,G,6-7,200.0,"Fort Wayne, IN",Homestead (IN),98 (2021),"5.7 Pts, 3.6 Reb, 0.6 Ast",38,7,20.1,1.9,4.7,0.397,0.3,0.6,0.455,1.6,4.1,0.389,0.4,0.6,0.652,1.1,2.5,3.6,0.6,0.3,0.1,0.5,1.8,5.7
7,Justin Harmon,4,SR,G,6-4,180.0,"Chicago, IL",Curie (IL),,"5.6 Pts, 2.7 Reb, 1.1 Ast",38,0,18.8,1.9,4.8,0.407,1.4,2.9,0.473,0.6,1.9,0.306,1.1,1.2,0.915,0.9,1.8,2.7,1.1,0.4,0.2,0.7,1.6,5.6
8,Dra Gibbs-Lawhorn,2,FR,G,6-1,185.0,"Lafayette, IN",McCutcheon (IN); Real Salt Lake Academy (UT); Montverde Academy (FL); Word of God Christian Academy (NC),,"2.4 Pts, 0.9 Reb, 0.4 Ast",28,0,7.1,0.9,2.7,0.342,0.6,1.4,0.45,0.3,1.3,0.222,0.2,0.3,0.667,0.3,0.6,0.9,0.4,0.1,0.1,0.4,1.0,2.4
9,Amani Hansberry,35,FR,F,6-8,240.0,"Baltimore, MD",Mount Saint Joseph (MD),58 (2023),"2.4 Pts, 2.1 Reb, 0.3 Ast",19,0,7.4,1.0,2.2,0.452,0.8,1.5,0.517,0.2,0.7,0.308,0.2,0.3,0.667,0.6,1.5,2.1,0.3,0.2,0.2,0.1,1.2,2.4
10,Niccolo Moretti,11,FR,G,6-1,170.0,"Bologna, Italy",DME Academy (FL); NBA Global Academy (Australia),,"1.5 Pts, 0.8 Reb, 0.6 Ast",18,0,5.9,0.4,0.7,0.667,0.3,0.5,0.667,0.1,0.2,0.667,0.5,0.8,0.643,0.1,0.7,0.8,0.6,0.1,0.0,0.5,0.4,1.5
11,AJ Redd,5,SO,G,6-3,170.0,"Chicago, IL",St. Ignatius (IL),,"0.3 Pts, 0.2 Reb, 0.0 Ast",10,0,2.0,0.1,0.2,0.5,0.1,0.2,0.5,0.0,0.0,,0.1,0.4,0.25,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.1,0.3
12,Max Williams,25,JR,G,6-2,190.0,"Chicago, IL",IMG Academy,,"0.3 Pts, 0.3 Reb, 0.0 Ast",10,0,1.3,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.4,0.75,0.1,0.2,0.3,0.0,0.0,0.0,0.2,0.0,0.3
